serv,p,cover,method,num_unique_subareas,num_total_subareas
mat,26,null,RSSV_EXACT_CPMP,13,51
mat,30,null,RSSV_EXACT_CPMP,15,51
mat,33,null,RSSV_EXACT_CPMP,15,51
mat,37,null,RSSV_EXACT_CPMP,19,51
mat,41,null,RSSV_EXACT_CPMP,21,51
mat,44,null,RSSV_EXACT_CPMP,22,51
mat,48,null,RSSV_EXACT_CPMP,25,51
serv,p,cover,method,num_unique_subareas,num_total_subareas
urgenc,42,null,RSSV_EXACT_CPMP,21,51
urgenc,48,null,RSSV_EXACT_CPMP,24,51
urgenc,54,null,RSSV_EXACT_CPMP,26,51
urgenc,60,null,RSSV_EXACT_CPMP,28,51
urgenc,66,null,RSSV_EXACT_CPMP,32,51
urgenc,72,null,RSSV_EXACT_CPMP,33,51
urgenc,78,null,RSSV_EXACT_CPMP,35,51
serv,p,cover,method,num_unique_subareas,num_total_subareas
mat,26,null,RSSV_EXACT_CPMP,12,18
mat,30,null,RSSV_EXACT_CPMP,13,18
mat,33,null,RSSV_EXACT_CPMP,15,18
mat,37,null,RSSV_EXACT_CPMP,15,18
mat,41,null,RSSV_EXACT_CPMP,15,18
mat,44,null,RSSV_EXACT_CPMP,16,18
mat,48,null,RSSV_EXACT_CPMP,16,18
serv,p,cover,method,num_unique_subareas,num_total_subareas
urgenc,42,null,RSSV_EXACT_CPMP,16,18
urgenc,48,null,RSSV_EXACT_CPMP,16,18
urgenc,54,null,RSSV_EXACT_CPMP,16,18
urgenc,60,null,RSSV_EXACT_CPMP,17,18
urgenc,66,null,RSSV_EXACT_CPMP,18,18
urgenc,72,null,RSSV_EXACT_CPMP,18,18
urgenc,78,null,RSSV_EXACT_CPMP,17,18
