serv,p,cover,method,count,mean,std,min,25%,50%,75%,max
mat,26,null,EXACT_CPMP,1432.0,36.92812673545519,23.4632182844469,0.0,19.6941453979,31.19228037285,49.716913374425005,128.052061397
mat,30,null,EXACT_CPMP,1432.0,36.05409579232282,24.018138576426423,0.0,18.308153835875,30.0059436526,48.8816063075,128.052061397
mat,33,null,EXACT_CPMP,1436.0,35.14991622786866,22.17926858625173,0.0,17.552428802025,30.93699613335,47.7564239107,114.628083994
mat,37,null,EXACT_CPMP,1434.0,31.140887868598032,20.80884632882076,0.0,15.491259530575,25.8649909755,42.021202543275,108.147568143
mat,41,null,EXACT_CPMP,1432.0,31.346699011199316,20.917037570280524,0.0,15.378111451399999,26.7280363192,42.31561695485,110.86526976
mat,44,null,EXACT_CPMP,1433.0,32.86349942809069,22.210751500584124,0.0,15.9546665485,27.6098866736,45.4125734726,111.18463907
mat,48,null,EXACT_CPMP,1433.0,32.566408701195364,21.869541457594906,0.0,15.6861094464,27.8156577736,45.0323120421,109.694723409
mat,26,arrond,EXACT_CPMP,1432.0,32.9439629073052,17.059103750864754,0.0,20.937659090725,31.09201829915,42.699938555974995,112.982718067
mat,30,arrond,EXACT_CPMP,1433.0,31.570190473059245,17.378967953446608,0.0,18.4337500991,29.1856797193,42.3150667185,98.6909346124
mat,33,arrond,EXACT_CPMP,1438.0,31.13354961826075,17.140037383587952,0.0,18.254173571975002,28.3125775556,42.30024353895,104.679972466
mat,37,arrond,EXACT_CPMP,1437.0,28.972408824004976,15.875810708442794,0.0,16.8890164929,26.7720102263,39.4782421147,98.6909346124
mat,41,arrond,EXACT_CPMP,1435.0,29.006966365472937,17.37876674459788,0.0,15.96618023905,25.7599350234,38.4253898241,99.964989122
mat,44,arrond,EXACT_CPMP,1436.0,33.37850598686813,21.660846152265503,0.0,16.855375996025,29.37779184995,45.10618364215,111.30384608
mat,48,arrond,EXACT_CPMP,1432.0,28.0861393837862,17.3056901327696,0.0,14.899347724350001,24.08438095175,39.486905852925,98.6909346124
serv,p,cover,method,count,mean,std,min,25%,50%,75%,max
urgenc,42,null,EXACT_CPMP,1438.0,32.15471155559405,21.04597394338086,0.0,16.3290941009,27.735821653800002,43.602944096325004,106.176089794
urgenc,48,null,EXACT_CPMP,1442.0,29.800823134035458,20.347340848239973,0.0,14.747636599675,24.42827124135,40.32599633385,106.176089794
urgenc,54,null,EXACT_CPMP,1437.0,29.678106454880577,20.96776427104969,0.0,13.8544541008,23.9457546563,41.3715694988,103.796361638
urgenc,60,null,EXACT_CPMP,1436.0,27.268294431670846,18.928307848737706,0.0,13.544909626599999,22.57448769675,37.23025121725,103.35647946
urgenc,66,null,EXACT_CPMP,1438.0,26.62717796660988,21.190688703043882,0.0,12.502064498775,20.6742292116,34.274926415025,200.741371836
urgenc,72,null,EXACT_CPMP,1439.0,22.86380122726064,15.19496485949713,0.0,11.775125543449999,19.9583648474,30.367232660950002,103.35647946
urgenc,78,null,EXACT_CPMP,1435.0,23.880282474364712,16.702957702581905,0.0,11.48581963715,19.4981945387,32.991062373999995,91.6580612899
urgenc,42,arrond,EXACT_CPMP,1444.0,28.156435640463013,16.191847033356414,0.0,15.469809060100001,25.84446670515,38.2801100489,103.35647946
urgenc,48,arrond,EXACT_CPMP,1437.0,27.16826835787029,16.43686506414727,0.0,15.0841952619,23.8325942916,36.8250992522,103.35647946
urgenc,54,arrond,EXACT_CPMP,1442.0,27.060656993629,17.45969598582841,0.0,14.17527199555,23.579711587,36.7516377642,103.35647946
urgenc,60,arrond,EXACT_CPMP,1439.0,28.191337356500103,19.026821152932598,0.0,13.7410252044,23.5453301111,38.957545099149996,103.35647946
urgenc,66,arrond,EXACT_CPMP,1435.0,26.356707066121654,17.68081447933129,0.0,13.42762103215,22.4772287597,35.74995051755,103.35647946
urgenc,72,arrond,EXACT_CPMP,1438.0,22.94351683600883,14.75244243628031,0.0,12.119278375475,19.9000487132,31.659173250174998,103.35647946
urgenc,78,arrond,EXACT_CPMP,1434.0,22.701437498073037,14.669482593136333,0.0,11.513126025875,19.434316599200002,32.166900778925005,81.8768887949
urgenc,42,epci,EXACT_CPMP,1444.0,30.081067244778076,18.029015048478946,0.0,16.6616830869,26.925753403100003,39.86401442895,98.9224480809
urgenc,48,epci,EXACT_CPMP,1442.0,26.567682118828667,15.731052543384738,0.0,15.363583970025001,23.1969543761,35.086297294800005,91.1770270394
urgenc,54,epci,EXACT_CPMP,1443.0,24.058858719373756,14.565865701636355,0.0,14.24486811425,21.1558453577,30.84056415185,91.1770270394
urgenc,60,epci,EXACT_CPMP,1442.0,21.784212325851264,12.901380665113528,0.0,12.7175445314,19.5191485984,28.526099029599997,82.3995852765
urgenc,66,epci,EXACT_CPMP,1435.0,20.77906580307807,13.186672294416462,0.0,11.66333524245,17.7734991165,27.1030656358,79.650058749
urgenc,72,epci,EXACT_CPMP,1439.0,20.83691905658611,13.78548501765179,0.0,11.495614533200001,17.4325986864,27.14829303885,103.35647946
urgenc,78,epci,EXACT_CPMP,1432.0,19.744373021052564,12.777362864636808,0.0,11.150588085799999,17.2281435398,25.956023901675,112.024216869
