serv,p,cover,method,count,mean,std,min,25%,50%,75%,max
mat,26,null,RSSV_EXACT_CPMP,1434.0,36.791191816678115,23.02622340531002,0.0,19.507065756275,32.3530740668,48.919166578775,128.052061397
mat,30,null,RSSV_EXACT_CPMP,1433.0,34.7654417177239,22.2548722942429,0.0,18.1441397765,30.1810938421,46.0333298999,118.966958195
mat,33,null,RSSV_EXACT_CPMP,1432.0,32.545300931067786,20.084274136805693,0.0,17.02455135405,28.688040206750003,44.404194577649996,104.740010073
mat,37,null,RSSV_EXACT_CPMP,1433.0,32.20743863757524,21.247143694397167,0.0,16.1544812748,26.7928782615,43.8183529815,106.32695244
mat,41,null,RSSV_EXACT_CPMP,1435.0,32.139137985153965,21.05451590790458,0.0,16.191160370299997,27.5785255334,43.3442810761,106.176089794
mat,44,null,RSSV_EXACT_CPMP,1438.0,29.120394604089615,19.65219742288564,0.0,14.664518766375,23.9436197114,39.40677720365,111.193201008
mat,48,null,RSSV_EXACT_CPMP,1437.0,27.332927220575982,18.733120845157625,0.0,13.8756612136,22.3467746773,35.8443006029,101.662194404
serv,p,cover,method,count,mean,std,min,25%,50%,75%,max
urgenc,42,null,RSSV_EXACT_CPMP,1435.0,29.45145762064107,19.840123149444064,0.0,14.65062797925,24.2815564941,40.1070703453,106.176089794
urgenc,48,null,RSSV_EXACT_CPMP,1434.0,28.871159608857507,20.355744303104895,0.0,13.77069377015,23.44028264575,39.3405176934,106.176089794
urgenc,54,null,RSSV_EXACT_CPMP,1432.0,25.882930647126546,16.9590943259986,0.0,12.973163840425,22.19994226485,35.720057453449996,103.35647946
urgenc,60,null,RSSV_EXACT_CPMP,1433.0,24.786982024102617,16.578319905769987,0.0,12.6325248873,21.0184888459,33.6781794105,103.35647946
urgenc,66,null,RSSV_EXACT_CPMP,1432.0,22.737343916514984,14.000386244336708,0.0,12.1434404756,19.82490739185,31.667666101225,81.8768887949
urgenc,72,null,RSSV_EXACT_CPMP,1433.0,21.816367486258198,13.497885365286542,0.0,11.6100870836,19.1054869761,30.1077649643,81.8768887949
urgenc,78,null,RSSV_EXACT_CPMP,1433.0,22.05553769332066,14.3802663518092,0.0,11.1393194226,18.8157567417,30.7446327017,81.8768887949
serv,p,cover,method,count,mean,std,min,25%,50%,75%,max
mat,26,null,RSSV_EXACT_CPMP,1434.0,36.791191816678115,23.02622340531002,0.0,19.507065756275,32.3530740668,48.919166578775,128.052061397
mat,30,null,RSSV_EXACT_CPMP,1433.0,34.7654417177239,22.2548722942429,0.0,18.1441397765,30.1810938421,46.0333298999,118.966958195
mat,33,null,RSSV_EXACT_CPMP,1432.0,32.545300931067786,20.084274136805693,0.0,17.02455135405,28.688040206750003,44.404194577649996,104.740010073
mat,37,null,RSSV_EXACT_CPMP,1433.0,32.20743863757524,21.247143694397167,0.0,16.1544812748,26.7928782615,43.8183529815,106.32695244
mat,41,null,RSSV_EXACT_CPMP,1435.0,32.139137985153965,21.05451590790458,0.0,16.191160370299997,27.5785255334,43.3442810761,106.176089794
mat,44,null,RSSV_EXACT_CPMP,1438.0,29.120394604089615,19.65219742288564,0.0,14.664518766375,23.9436197114,39.40677720365,111.193201008
mat,48,null,RSSV_EXACT_CPMP,1437.0,27.332927220575982,18.733120845157625,0.0,13.8756612136,22.3467746773,35.8443006029,101.662194404
serv,p,cover,method,count,mean,std,min,25%,50%,75%,max
urgenc,42,null,RSSV_EXACT_CPMP,1435.0,29.45145762064107,19.840123149444064,0.0,14.65062797925,24.2815564941,40.1070703453,106.176089794
urgenc,48,null,RSSV_EXACT_CPMP,1434.0,28.871159608857507,20.355744303104895,0.0,13.77069377015,23.44028264575,39.3405176934,106.176089794
urgenc,54,null,RSSV_EXACT_CPMP,1432.0,25.882930647126546,16.9590943259986,0.0,12.973163840425,22.19994226485,35.720057453449996,103.35647946
urgenc,60,null,RSSV_EXACT_CPMP,1433.0,24.786982024102617,16.578319905769987,0.0,12.6325248873,21.0184888459,33.6781794105,103.35647946
urgenc,66,null,RSSV_EXACT_CPMP,1432.0,22.737343916514984,14.000386244336708,0.0,12.1434404756,19.82490739185,31.667666101225,81.8768887949
urgenc,72,null,RSSV_EXACT_CPMP,1433.0,21.816367486258198,13.497885365286542,0.0,11.6100870836,19.1054869761,30.1077649643,81.8768887949
urgenc,78,null,RSSV_EXACT_CPMP,1433.0,22.05553769332066,14.3802663518092,0.0,11.1393194226,18.8157567417,30.7446327017,81.8768887949
