fid,identif,cap_lycee,cap_poste,cap_urgenc,cap_mat,output_location,output_usage,output_capacity,xcoord,ycoord,longitude,x,y
"1","458","53181","1114","24518","122920",,,,995667.057599999,6297736.1105,995667.057599999,4052040.7789005297,2295714.5206627110
"2","336","1978","193","85856","122304",,,,995667.057599999,6282736.1105,995667.057599999,4050718.3565902766,2280814.2862781789
"3","339","88618","11065","118106","67899",,,,1010891.7,6282994.6,1010891.7,4065936.5194573463,2279691.1498286263
"4","419","39228","1384","39158","113322",,,,995667.057599999,6292736.1105,995667.057599999,4051599.8466588561,2290747.4551183833
"5","420","50366","8641","118106","167623",,,,1000667.0576,6292736.1105,1000667.0576,4056590.2899879110,2290293.9660031092
"6","459","25926","14960","80101","95904",,,,1000667.0576,6297736.1105,1000667.0576,4057031.2665019305,2295260.9899526942
"7","338","46475","3075","46745","122920",,,,1005363.1,6282524.3,1005363.1,4060377.0489007942,2279724.8698262637
"8","385","26768","3926","71434","106408",,,,1005667.0576,6287736.1105,1005667.0576,4061139.8725621048,2284874.0434320602
"9","380","85117","1240","216","194329",,,,985667.057599999,6292736.1105,985667.057599999,4041619.0832116576,2291655.1214769189
"10","381","28333","5551","72786","92412",,,,990793.899999999,6287909.1,990793.899999999,4046310.5273062098,2286394.7082172045
"11","383","55609","1548","56541","457767",,,,995667.057599999,6287736.1105,995667.057599999,4051159.0390733690,2285780.7091139704
"12","337","4273","90903","216","122920",,,,1000852.5,6282894.8,1000852.5,4055907.7762230695,2280501.6870423919
"13","384","62068","658","122732","46745",,,,1000667.0576,6287736.1105,1000667.0576,4056149.4359979983,2285327.2619167175
"14","1416","1","1","1","1",,,,1003199.03179569,6282994.89279543,1003199.03179569,4058258.6157122110,2280388.3995796060
"15","1415","1","1","1","1",,,,997328.577346451,6281109.73277512,997328.577346451,4052233.3430463350,2279048.2116882959
"16","296","12423","40","89506","194329",,,,995667.057599999,6277736.1105,995667.057599999,4050277.7996549928,2275848.1902365652
"17","297","130627","2548","70344","46745",,,,1000667.0576,6277736.1105,1000667.0576,4055268.0973835792,2275394.8278427776
"18","300","65578","11289","269557","270166",,,,1015667.0576,6277736.1105,1015667.0576,4070239.2224135753,2274036.1055700788
"19","1413","1","1","1","1",,,,1017767.68072466,6274412.45375556,1017767.68072466,4072042.8912944258,2270545.1771210013
"20","388","12563","1411","39276","67899",,,,1020667.0576,6287736.1105,1020667.0576,4076111.4107319680,2283515.7597511066
"21","341","25926","1310","117798","159647",,,,1020667.0576,6282736.1105,1020667.0576,4075670.4836937031,2278549.5421371609
"22","1419","1","1","1","1",,,,1023775.05732274,6283037.22621344,1023775.05732274,4078799.1492790710,2278567.4579986702
"23","342","40637","14108","72786","330630","23","330630.0","330630.0",1025667.0576,6282736.1105,1025667.0576,4080661.0199673353,2278097.2772421408
"24","591","18855","3054","155409","122304",,,,995667.057599999,6312736.1105,995667.057599999,4053364.3190886714,2310617.5982013727
"25","387","39126","125962","106716","170405",,,,1015667.0576,6287736.1105,1015667.0576,4071120.8608655250,2283968.2924016463
"26","340","17646","1222","24518","130065",,,,1015975,6282815.7,1015975,4070994.3563965247,2279053.2097978294
"27","638","50366","1788","72786","67899",,,,1010667.0576,6317736.1105,1010667.0576,4068777.7968329634,2314225.5210104506
"28","502","22559","6604","87499","98663",,,,995667.057599999,6302736.1105,995667.057599999,4052481.8353513870,2300681.9021151378
"29","503","15605","1114","42476","183156",,,,1000667.0576,6302736.1105,1000667.0576,4057472.3650907935,2300228.3301342353
"30","637","33340","21665","89506","110994",,,,1005667.0576,6317736.1105,1005667.0576,4063787.0728948768,2314678.7502137846
"31","504","31409","14108","166558","98663",,,,1005426.3,6302432.3,1005426.3,4062195.8226546086,2299494.9798388137
"32","505","18166","326","143078","90314",,,,1010746.3,6302382.1,1010746.3,4067501.3975005001,2298962.9957149252
"33","548","36672","85045","27953","98663",,,,1005667.0576,6307736.1105,1005667.0576,4062904.1954351808,2304742.6011133348
"34","593","20173","2058","27953","36286",,,,1006501.48323167,6314185.37607079,1006501.48323167,4064306.4028837974,2311074.8990157507
"35","594","47779","6772","9265","170405",,,,1010667.0576,6312736.1105,1010667.0576,4068336.2627099361,2309257.3327114363
"36","592","48131","2320","143078","279505",,,,1000667.0576,6312736.1105,1000667.0576,4058354.9266920150,2310163.9446526747
"37","547","20173","13919","183156","122920",,,,1000447.47190745,6307165.18769938,1000447.47190745,4057644.0264308183,2304648.6542983949
"38","1469","1","1","1","1",,,,1001172.09892238,6314113.26232384,1001172.09892238,4058980.6026377543,2311486.5149634024
"39","1468","1","1","1","1",,,,1009371.1,6316127,1009371.1,4067342.1345748110,2312744.0626873905
"40","1476","1","1","1","1",,,,1002511.58145194,6303764.06454211,1002511.58145194,4059404.1095296871,2301082.3387344307
"41","422","37256","1705","21440","98453",,,,1010858.4,6293064.6,1010858.4,4066791.2492201999,2289696.6512241592
"42","461","15814","9325","125962","170405",,,,1010895.6,6297559.4,1010895.6,4067224.8826842695,2294158.3669998655
"43","460","10243","2891","80101","279505",,,,1005667.0576,6297736.1105,1005667.0576,4062021.7941170079,2294807.6891586129
"44","421","17112","276459","269557","113322",,,,1005667.0576,6292736.1105,1005667.0576,4061580.7731432854,2289840.7062011044
"45","386","142826","7865","39158","90314",,,,1010343.1,6287690.3,1010343.1,4065802.9667703430,2284404.8933640840
"46","1422","1","1","1","1",,,,1012704.8685157,6292160.07779247,1012704.8685157,4068554.4459779873,2288630.9014273956
"47","1421","1","1","1","1",,,,1013064.7025687,6289450.73904046,1013064.7025687,4068674.6455337992,2285907.0523656248
"48","1423","1","1","1","1",,,,1011075.03192269,6291567.40994047,1011075.03192269,4066875.4192779274,2288189.7939492916
"49","1420","1","1","1","1",,,,1018927.88096173,6284053.22824544,1018927.88096173,4074050.7420355426,2280015.0998659711
"50","423","62594","1761","125962","98663",,,,1015667.0576,6292736.1105,1015667.0576,4071561.8551980518,2288934.8743359484
"51","494","21783","3195","110930","330630",,,,960667.057599999,6302736.1105,960667.057599999,4017549.3307889150,2303863.3643702334
"52","496","193","24693","110930","67899",,,,970476.557218998,6297947.77759,970476.557218998,4026917.5045847078,2298213.2415733193
"53","328","10695","4578","163070","65356",,,,955667.057599999,6282736.1105,955667.057599999,4010797.1021488258,2284449.7431747625
"54","371","14257","25878","47834","67899",,,,960667.057599999,6287736.1105,960667.057599999,4016227.4490004024,2288961.2471337649
"55","450","13093","10331","80101","154690",,,,950667.057599999,6297736.1105,950667.057599999,4007128.3445629650,2299806.6504985732
"56","417","57584","6772","42476","116948",,,,960667.057599999,6292736.1105,960667.057599999,4016667.9368122546,2293928.3034247505
"57","451","14057","3830","108402","122920",,,,955667.057599999,6297736.1105,955667.057599999,4012118.4302030974,2299351.0486378567
"58","452","41421","847","71434","130065",,,,960667.057599999,6297736.1105,960667.057599999,4017108.5642188066,2298895.6770488601
"59","372","7125","5725","79400","117798",,,,965667.057599999,6287736.1105,965667.057599999,4021217.5422907528,2288506.1977493879
"60","1479","1","1","1","1",,,,958265.222125886,6302279.74907348,958265.222125886,4015111.9752652026,2303628.6761442441
"61","501","11712","2748","115916","65356",,,,990667.057599999,6302736.1105,990667.057599999,4047491.3467424782,2301135.7046652301
"62","499","28108","37023","95904","106408",,,,980667.057599999,6302736.1105,980667.057599999,4037510.4966294905,2302044.0016566738
"63","500","76941","125962","87499","116948",,,,985667.057599999,6302736.1105,985667.057599999,4042500.9001925248,2301589.7378309746
"64","454","15423","4005","42476","330630",,,,975667.057599999,6297736.1105,975667.057599999,4032079.2472449774,2297530.9435917805
