serv,p,cover,method,count,mean,std,min,25%,50%,75%,max
urgenc,42,null,EXACT_CPMP,1438.0,32.15471155559405,21.045973943380872,0.0,16.3290941009,27.735821653800002,43.602944096325004,106.176089794
urgenc,48,null,EXACT_CPMP,1442.0,29.800823134035486,20.34734084823996,0.0,14.747636599675,24.42827124135,40.32599633385,106.176089794
urgenc,54,null,EXACT_CPMP,1437.0,29.678106454880602,20.967764271049674,0.0,13.8544541008,23.9457546563,41.3715694988,103.796361638
urgenc,60,null,EXACT_CPMP,1436.0,27.268294431670835,18.928307848737706,0.0,13.544909626599999,22.57448769675,37.23025121725,103.35647946
urgenc,66,null,EXACT_CPMP,1438.0,26.62717796660986,21.190688703043868,0.0,12.502064498775,20.6742292116,34.274926415025,200.741371836
urgenc,72,null,EXACT_CPMP,1439.0,22.863801227260645,15.194964859497116,0.0,11.775125543449999,19.9583648474,30.367232660950002,103.35647946
urgenc,78,null,EXACT_CPMP,1435.0,23.880282474364716,16.7029577025819,0.0,11.48581963715,19.4981945387,32.991062373999995,91.6580612899
serv,p,cover,method,count,mean,std,min,25%,50%,75%,max
mat,26,null,EXACT_CPMP,1432.0,36.92812673545518,23.46321828444691,0.0,19.6941453979,31.19228037285,49.716913374425005,128.052061397
mat,30,null,EXACT_CPMP,1432.0,36.05409579232282,24.018138576426438,0.0,18.308153835875,30.0059436526,48.8816063075,128.052061397
mat,33,null,EXACT_CPMP,1436.0,35.14991622786862,22.17926858625172,0.0,17.552428802025,30.93699613335,47.7564239107,114.628083994
mat,37,null,EXACT_CPMP,1434.0,31.14088786859802,20.808846328820746,0.0,15.491259530575,25.8649909755,42.021202543275,108.147568143
mat,41,null,EXACT_CPMP,1432.0,31.34669901119932,20.917037570280517,0.0,15.378111451399999,26.7280363192,42.31561695485,110.86526976
mat,44,null,EXACT_CPMP,1433.0,32.86349942809065,22.210751500584127,0.0,15.9546665485,27.6098866736,45.4125734726,111.18463907
mat,48,null,EXACT_CPMP,1433.0,32.56640870119536,21.869541457594888,0.0,15.6861094464,27.8156577736,45.0323120421,109.694723409
serv,p,cover,method,count,mean,std,min,25%,50%,75%,max
mat,26,null,EXACT_CPMP,1432.0,36.92812673545518,23.46321828444691,0.0,19.6941453979,31.19228037285,49.716913374425005,128.052061397
mat,30,null,EXACT_CPMP,1432.0,36.05409579232282,24.018138576426438,0.0,18.308153835875,30.0059436526,48.8816063075,128.052061397
mat,33,null,EXACT_CPMP,1436.0,35.14991622786862,22.17926858625172,0.0,17.552428802025,30.93699613335,47.7564239107,114.628083994
mat,37,null,EXACT_CPMP,1434.0,31.14088786859802,20.808846328820746,0.0,15.491259530575,25.8649909755,42.021202543275,108.147568143
mat,41,null,EXACT_CPMP,1432.0,31.34669901119932,20.917037570280517,0.0,15.378111451399999,26.7280363192,42.31561695485,110.86526976
mat,44,null,EXACT_CPMP,1433.0,32.86349942809065,22.210751500584127,0.0,15.9546665485,27.6098866736,45.4125734726,111.18463907
mat,48,null,EXACT_CPMP,1433.0,32.56640870119536,21.869541457594888,0.0,15.6861094464,27.8156577736,45.0323120421,109.694723409
serv,p,cover,method,count,mean,std,min,25%,50%,75%,max
urgenc,42,null,EXACT_CPMP,1438.0,32.15471155559405,21.045973943380872,0.0,16.3290941009,27.735821653800002,43.602944096325004,106.176089794
urgenc,48,null,EXACT_CPMP,1442.0,29.800823134035486,20.34734084823996,0.0,14.747636599675,24.42827124135,40.32599633385,106.176089794
urgenc,54,null,EXACT_CPMP,1437.0,29.678106454880602,20.967764271049674,0.0,13.8544541008,23.9457546563,41.3715694988,103.796361638
urgenc,60,null,EXACT_CPMP,1436.0,27.268294431670835,18.928307848737706,0.0,13.544909626599999,22.57448769675,37.23025121725,103.35647946
urgenc,66,null,EXACT_CPMP,1438.0,26.62717796660986,21.190688703043868,0.0,12.502064498775,20.6742292116,34.274926415025,200.741371836
urgenc,72,null,EXACT_CPMP,1439.0,22.863801227260645,15.194964859497116,0.0,11.775125543449999,19.9583648474,30.367232660950002,103.35647946
urgenc,78,null,EXACT_CPMP,1435.0,23.880282474364716,16.7029577025819,0.0,11.48581963715,19.4981945387,32.991062373999995,91.6580612899
