instance	BB	gap_mstef	gap_mar	sol_mstef	sol_mar	sol_best	gap_best	seed
SJC1	17288.99	0	0	17288.99	17288.99			
SJC2	33269.51	0	0	33269.51	33269.51			
SJC3a	45335.16	0	0	45335.16	45335.16			
SJC3b	40635.9	0	0	40635.9	40635.9			
SJC4a	61925.51	0	0.15	61925.51	71214.3365			
SJC4b	52458.02	0	0.17	52458.02	61375.8834			
p3038_600	121596,38	0.03	0.04	125244.2714	126460.2352	125115,715676894	0,029	0
p3038_700	108679,98	0.03	0.04	111940.3794	113027.1792	111415,245461296	0,025	0
p3038_800	99089,87	0.03	0.03	102062.5661	102062.5661	101587,390175414	0,025	24
p3038_900	91258,33	0.05	0.02	95821.2465	93083.4966	92887,7055182061	0,018	0
p3038_1000	85102,19	0.05	0.04	89357.2995	88506.2776	86104,5208783045	0,012	24
fnl4461_0020	220323,41	0.44	0.28	317265.7104	282013.9648	1548572,86942746	6,029	0
fnl4461_0100	212458,56	2.13	0.55	664995.2928	329310.768	643977,255161732	2,031	2024
fnl4461_0250	197570,01	1.02	0.46	399091.4202	288452.2146	362632,107396208	0,835	2024
fnl4461_0500	172895,18	0.23	0.39	212661.0714	240324.3002	228746,030576352	0,323	2
fnl4461_1000	138569,83	0.03	0.1	142726.9249	152426.813	148542,33562039	0,072	2
								
								
								
	2146484,1					2288312,82554348	0,066	
