dataset,N,Service,p,cover,LowerBound,Sol_Form,gap %,time,MEM GB,#subareas_arrond,#subareas_EPCI,#subareas_canton,#subareas_commune,Tol gap Solution
original ,2037,cinema,30,nocover,INFEAS,,,,,,,,,
original ,2037,cinema,41,nocover,,14884477213.81,0,2746.12,128,16,24,36,39,
original ,2037,cinema,46,nocover,,9348590541.96,0,4479.41,128,14,23,40,43,
original ,2037,cinema,51,nocover,,7328364976.33,0,15396.42,128,13,23,42,45,
original ,2037,cinema,56,nocover,6191932753.93,6216640530.84,0.4,TL,128,14,22,42,49,
original ,2037,cinema,61,nocover,5515880439.39,5538837631.00,0.41,TL,128,16,24,45,54,
original ,2037,cinema,96,nocover,3536257839.47,3558811504.59,0.63,TL,128,18,33,67,79,
original ,2037,cinema,134,nocover,2811510738.43,2831567782.41,0.71,TL,128,18,39,86,102,
original ,2037,cinema,173,nocover,2415804854.91,2436053609.65,0.83,TL,256,18,41,106,130,
original ,2037,cinema,188,nocover,2309576626.52,2323096127.10,0.58,TL,128,18,43,110,141,
original ,2037,cinema,192,nocover,2281716279.69,2300053911.20,0.8,TL,256,18,43,111,145,
original ,2037,cinema,211,nocover,2163722469.08,2174857260.59,0.51,TL,256,18,43,116,156,
original ,2037,cinema,230,nocover,2066266952.12,2073913449.28,0.37,TL,256,18,44,123,167,
original ,2037,cinema,250,nocover,,1980809822.82,0,11450.54,128,18,46,130,184,
original ,2037,cinema,288,nocover,1840254783.28,1843144772.78,0.16,TL,256,18,46,136,210,
original ,2037,cinema,326,nocover,,1733820893.98,0,9647.8,128,18,48,138,236,
original ,2037,cinema,500,nocover,,1441955335.88,0,12155.24,256,18,51,169,342,
original ,2037,cinema,682,nocover,,1311802953.85,0,1182.49,128,18,51,185,436,
original ,2037,cinema,767,nocover,,1274879550.74,0,929.57,128,18,51,186,477,
original ,2037,cinema,852,nocover,,1247434532.87,0,452.58,128,18,51,187,524,
original ,2037,cinema,937,nocover,,1226786049.08,0,1120.56,128,18,51,188,566,
original ,2037,cinema,1022,nocover,,1211809353.53,0,198.9,128,18,51,188,597,
original ,2037,cinema,30,arrond,,,,,,,,,,
original ,2037,cinema,41,arrond,,15663964443.08,,913.78,,18,25,37,40,
original ,2037,cinema,46,arrond,,10250118419.06,,4774.84,,18,26,41,44,
original ,2037,cinema,51,arrond,7939983308.64,7942766491.37,0.05,,,18,27,44,47,
original ,2037,cinema,56,arrond,6569091872.65,6602397452.77,0.5,,,18,25,46,51,
original ,2037,cinema,61,arrond,5681891550.34,5707678522.43,0.45,,,18,26,46,54,
original ,2037,cinema,96,arrond,3536257839.47,3558811504.59,0.63,TL,128,18,33,67,79,
original ,2037,cinema,134,arrond,2811510738.43,2831567782.41,0.71,TL,128,18,39,86,102,
original ,2037,cinema,173,arrond,2415804854.91,2436053609.65,0.83,TL,256,18,41,106,130,
original ,2037,cinema,188,arrond,2309576626.52,2323096127.10,0.58,TL,128,18,43,110,141,
original ,2037,cinema,192,arrond,2281716279.69,2300053911.20,0.8,TL,256,18,43,111,145,
original ,2037,cinema,211,arrond,2163722469.08,2174857260.59,0.51,TL,256,18,43,116,156,
original ,2037,cinema,230,arrond,2066266952.12,2073913449.28,0.37,TL,256,18,44,123,167,
original ,2037,cinema,250,arrond,,1980809822.82,0,11450.54,128,18,46,130,184,
original ,2037,cinema,288,arrond,1840254783.28,1843144772.78,0.16,TL,256,18,46,136,210,
original ,2037,cinema,326,arrond,,1733820893.98,0,9647.8,128,18,48,138,236,
original ,2037,cinema,500,arrond,,1441955335.88,0,12155.24,256,18,51,169,342,
original ,2037,cinema,682,arrond,,1311802953.85,0,1182.49,128,18,51,185,436,
original ,2037,cinema,767,arrond,,1274879550.74,0,929.57,128,18,51,186,477,
original ,2037,cinema,852,arrond,,1247434532.87,0,452.58,128,18,51,187,524,
original ,2037,cinema,937,arrond,,1226786049.08,0,1120.56,128,18,51,188,566,
original ,2037,cinema,1022,arrond,,1211809353.53,0,198.9,128,18,51,188,597,
original ,2037,cinema,30,EPCI,INFEAS,,,,,,,,,
original ,2037,cinema,41,EPCI,INFEAS,,,,,,,,,
original ,2037,cinema,46,EPCI,,16889180956.97,0,1399.98,,13,46,43,45,
original ,2037,cinema,51,EPCI,,16791026770.40,,3055.27,,16,51,50,51,
original ,2037,cinema,56,EPCI,,12605462899.49,,5754.57,,15,51,52,55,
original ,2037,cinema,61,EPCI,,9884405669.65,0.27,,,18,51,56,59,
original ,2037,cinema,96,EPCI,,3971840704.39,0.91,,,18,51,78,85,
original ,2037,cinema,134,EPCI,2873196450.86,2897775099.92,0.85,,,18,51,90,107,
original ,2037,cinema,173,EPCI,,2441966039.65,0.48,,,18,51,106,129,
original ,2037,cinema,188,EPCI,2320792812.73,2330604526.34,0.42,,,18,51,112,142,
original ,2037,cinema,192,EPCI,,2305324523.41,0.5,,,18,51,112,143,
original ,2037,cinema,211,EPCI,,2178001700.19,0.08,,,18,51,120,157,
original ,2037,cinema,230,EPCI,2072082608.11,2076513075.72,0.21,,,18,51,124,169,
original ,2037,cinema,250,EPCI,,1984449596.39,,14039.76,,18,51,128,185,
original ,2037,cinema,288,EPCI,,1843986121.07,,13458.41,,18,51,135,212,
original ,2037,cinema,326,EPCI,1733343699.50,1734520253.93,0.07,,,18,51,138,236,
original ,2037,cinema,500,EPCI,,1441955335.88,0,12155.24,256,18,51,169,342,
original ,2037,cinema,682,EPCI,,1311802953.85,0,1182.49,128,18,51,185,436,
original ,2037,cinema,767,EPCI,,1274879550.74,0,929.57,128,18,51,186,477,
original ,2037,cinema,852,EPCI,,1247434532.87,0,452.58,128,18,51,187,524,
original ,2037,cinema,937,EPCI,,1226786049.08,0,1120.56,128,18,51,188,566,
original ,2037,cinema,1022,EPCI,,1211809353.53,0,198.9,128,18,51,188,597,
