exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,time_tb,sum 
,,238651844.257365465164185,71.568881034851074,335741128.029413819313049,39.428047895431519,300,
,,115560153.448012679815292,107.139847040176392,335741128.029413819313049,55.416541814804077,300,
,,115560153.448012679815292,127.696580886840820,90665800.032198965549469,69.328541994094849,300,
,,115560153.448012679815292,146.981948852539062,90665800.032198965549469,85.414105892181396,300,
,,63697149.157739251852036,204.761183977127075,82122300.516615748405457,116.041884899139404,300,
,,52657907.121588915586472,229.269645929336548,82122300.516615748405457,130.777114868164062,300,
,,52657907.121588915586472,265.139592885971069,55321863.377346046268940,157.612904787063599,300,
,,52657907.121588915586472,295.785985946655273,52767676.261601656675339,178.086476802825928,300,
,,52657907.121588915586472,336.195129871368408,52767676.261601656675339,238.963639974594116,300,
,,52657907.121588915586472,382.296819925308228,52767676.261601656675339,275.410389900207520,300,
,,52657907.121588915586472,446.856891870498657,52674500.313522540032864,315.818466901779175,300,
,,52657907.121588915586472,552.018952846527100,52674500.313522540032864,351.956364870071411,300,
,,52657907.121588915586472,641.153192996978760,52674500.313522540032864,398.752400875091553,300,
,,52657907.121588915586472,701.383092880249023,52674500.313522540032864,431.611849784851074,300,
,,47005853.071274429559708,758.136013984680176,52674500.313522540032864,480.918149948120117,300,
,,47005853.071274429559708,1108.044669866561890,52674500.313522540032864,521.368908882141113,300,
,,47005853.071274429559708,1237.528950929641724,52674500.313522540032864,587.729182958602905,300,
,,47005853.071274429559708,1326.751716852188110,49122488.837460532784462,647.488701820373535,300,
,,47005853.071274429559708,1423.098114967346191,49122488.837460532784462,1067.263360977172852,300,
,,47005853.071274429559708,1522.944947957992554,49122488.837460532784462,1118.758610963821411,300,
,,47005853.071274429559708,1770.493548870086670,49122488.837460532784462,1258.677354812622070,300,
,,47005853.071274429559708,1924.081696033477783,49122488.837460532784462,1376.117740869522095,300,
,,45444922.360097423195839,2419.099774837493896,49122488.837460532784462,1536.467051982879639,300,
,,45444922.360097423195839,2920.298486948013306,49122488.837460532784462,1618.578090906143188,300,
,,45444922.360097423195839,3102.798514842987061,49122488.837460532784462,1771.079760789871216,300,
,,45444922.360097423195839,3260.732396841049194,48074451.221094124019146,1962.803567886352539,300,
,,45444922.360097423195839,3387.726963996887207,48074451.221094124019146,2789.601622819900513,300,
,,,,48074451.221094124019146,2936.128421783447266,300,
,,,,47860632.582536146044731,3192.932886838912964,300,
