id_map CODE_EPCI
1 200004802
2 200039915
3 200039857
4 200040210
5 200067445
6 200067320
7 200068096
8 200030195
9 200072304
10 200034700
11 240400440
12 240500439
13 200067742
14 240500462
15 241300417
16 200035087
17 248300394
18 248300410
19 200068104
20 248300493
21 200036077
22 248300550
23 200040624
24 248400053
25 248400160
26 248400236
27 248400251
28 200040442
29 200071025
30 248400285
31 248400293
32 248400319
33 200035723
34 248400335
35 200027100
36 200035319
37 200054807
38 200067452
39 240600551
40 240600585
41 248300543
42 240600593
43 200000628
44 200039931
45 200040202
46 200067437
47 200068625
48 200067825
49 200068765
50 200071033
51 241300375
