location,usage,capacity,identif
651,194329.0,194329.0,605
624,129447.5,457767.0,656
510,106408.0,106408.0,293
547,166365.5,330630.0,135
214,117797.99999999999,117798.0,468
405,127979.0,159647.0,345
949,110994.00000000001,110994.0,59
564,56912.500000000015,110994.0,570
897,167623.0,167623.0,118
224,16235.0,113506.0,1036
927,170405.0,170405.0,61
215,117797.99999999997,117798.0,511
1392,116569.0,167623.0,847
918,110994.0,110994.0,120
1214,28732.5,457767.0,811
21,131736.0,159647.0,341
206,130065.00000000006,130065.0,512
213,122732.0,122732.0,467
1219,14439.0,159825.0,727
903,120988.5,183156.0,151
50,98663.0,98663.0,423
840,95903.99999999999,95904.0,403
877,194328.99999999997,194329.0,197
951,170405.0,170405.0,89
639,105730.0,105730.0,790
876,225305.0,279505.0,353
792,155729.5,194329.0,216
950,98453.0,98453.0,60
937,130065.00000000001,130065.0,194
945,95904.0,95904.0,19
320,42419.0,98663.0,1234
952,105730.0,105730.0,90
1040,118678.0,118678.0,12
1041,113322.00000000001,113322.0,4
23,237474.5,330630.0,342
1050,194329.0,194329.0,11
1301,70439.0,70439.0,1088
