location,usage,capacity,identif
1413,58334.5,167623.0,78
651,194329.0,194329.0,605
947,67899.0,67899.0,39
50,98663.0,98663.0,423
938,170405.0,170405.0,195
627,124388.99999999999,170405.0,746
642,105462.0,122732.0,789
405,97832.0,159647.0,345
663,145196.5,270166.0,520
510,106408.0,106408.0,293
214,117797.99999999999,117798.0,468
449,92412.0,92412.0,166
949,110994.00000000001,110994.0,59
23,142306.5,330630.0,342
874,159825.0,159825.0,311
206,130065.00000000004,130065.0,512
195,151646.0,167623.0,466
213,122732.0,122732.0,467
851,156079.0,279505.0,361
877,174130.49999999994,194329.0,197
951,170405.0,170405.0,89
897,167623.0,167623.0,118
918,110994.0,110994.0,120
927,170405.00000000003,170405.0,61
801,115482.0,270166.0,217
1038,159825.0,159825.0,2
929,116969.0,122920.0,190
950,98453.0,98453.0,60
320,35580.5,98663.0,1234
952,105730.0,105730.0,90
1044,103390.0,106408.0,6
21,138007.5,159647.0,341
1048,98453.0,98453.0,3
1040,118678.00000000001,118678.0,12
1198,100352.0,143078.0,807
986,73439.99999999997,143078.0,604
1302,100736.5,170405.0,1089
