location,usage,capacity,identif
363,80101.0,80101.0,306
897,68467.5,70344.0,118
642,56541.0,56541.0,789
651,80101.0,80101.0,605
728,64185.0,106716.0,698
949,115916.00000000003,115916.0,59
1413,58102.5,155409.0,78
877,100717.0,105730.0,197
663,47833.99999999999,47834.0,520
935,78443.5,151858.0,115
224,10812.0,85856.0,1036
1214,23408.0,23408.0,811
424,66868.5,105730.0,24
195,24694.0,89506.0,466
213,117798.0,117798.0,467
918,77451.0,87499.0,120
215,217184.0,269557.0,511
951,94688.49999999999,116707.0,89
872,115657.0,115657.0,310
209,38292.5,54881.0,554
836,42966.0,122732.0,355
283,71434.00000000001,71434.0,532
21,117798.0,117798.0,341
1048,47834.00000000001,47834.0,3
929,47834.0,47834.0,190
1045,62371.5,183156.0,14
887,43514.0,89506.0,91
334,21850.5,39158.0,1099
378,47361.0,107739.0,469
646,130223.0,155409.0,563
1041,96918.0,108402.0,4
940,137894.0,155409.0,236
782,54880.99999999999,54881.0,49
844,74373.0,115657.0,405
449,119719.5,166558.0,166
1268,14331.5,127012.0,683
320,27973.5,119535.0,1234
952,54881.000000000015,54881.0,90
726,42476.0,42476.0,651
1050,94874.0,108402.0,11
23,72786.00000000001,72786.0,342
1128,28243.0,269557.0,366
1198,49988.0,115657.0,807
865,92218.5,115657.0,124
510,94385.0,142826.0,293
214,143078.0,143078.0,468
603,63481.0,142826.0,793
50,77906.0,125962.0,423
919,80101.0,80101.0,153
1302,77562.5,155409.0,1089
947,107739.00000000003,107739.0,39
950,328076.49999999994,341975.0,60
1029,47007.0,116707.0,465
792,51719.0,127012.0,216
1032,85334.49999999999,122732.0,390
1069,26448.5,130065.0,947
11,27723.0,56541.0,383
1038,73198.0,130065.0,2
801,61035.5,142826.0,217
564,34630.0,127012.0,570
