location,usage,capacity,identif
887,89506.0,89506.0,91
865,115657.0,115657.0,124
1112,24636.5,27953.0,687
123,11522.0,42476.0,1150
414,112676.49999,117798.0,562
651,80101.0,80101.0,605
940,155409.0,155409.0,236
8,37195.0,71434.0,385
1396,83874.0,119535.0,392
742,35810.0,143078.0,748
68,18756.5,115916.0,290
425,110930.0,110930.0,25
510,78340.00001,142826.0,293
919,80101.0,80101.0,153
50,125962.0,125962.0,423
291,12204.5,80054.0,667
1302,44806.5,155409.0,1089
631,23228.0,183156.0,834
947,107739.0,107739.0,39
351,7159.0,89506.0,1208
951,116707.0,116707.0,89
1118,27287.0,127012.0,287
483,155409.00002,155409.0,200
705,71434.00001,71434.0,404
726,42476.0,42476.0,651
215,269557.0,269557.0,511
689,13238.5,80101.0,620
977,7169.0,56541.0,1158
1214,23157.0,23408.0,811
1372,28398.5,106716.0,890
989,58108.5,108402.0,648
785,98088.0,130065.0,15
224,8477.5,85856.0,1036
935,151858.00000000003,151858.0,115
440,127011.99999999999,127012.0,29
1069,24123.0,130065.0,947
1032,122732.0,122732.0,390
107,17886.0,38505.0,1070
950,341975.0,341975.0,60
99,11685.0,341975.0,1064
554,97860.0,117798.0,72
949,115916.0,115916.0,59
320,19711.0,119535.0,1234
283,66797.99998,71434.0,532
1241,10233.5,153397.0,588
214,143077.99989556786,143078.0,468
1390,12099.5,166558.0,761
21,117798.00000000003,117798.0,341
326,12596.5,23408.0,1115
642,55990.0,56541.0,789
772,16987.5,110930.0,921
602,46745.0,46745.0,745
365,105730.0,105730.0,308
1413,56683.0,155409.0,78
1038,130065.0,130065.0,2
801,113611.5,142826.0,217
564,28572.50003,127012.0,570
658,131603.49995999996,142826.0,435
737,84361.5,269557.0,565
1052,72598.00010443211,130065.0,601
