location,usage,capacity,identif
952,54880.99999999999,54881.0,90
1069,26448.5,130065.0,947
1141,30549.5,45625.0,368
510,77478.5,142826.0,293
949,115916.00000000003,115916.0,59
728,64185.0,106716.0,698
363,80101.00000000001,80101.0,306
1050,94874.0,108402.0,11
23,72786.00000000001,72786.0,342
844,77617.0,115657.0,405
449,88568.0,166558.0,166
918,77221.5,87499.0,120
378,47360.0,107739.0,469
1302,81229.5,155409.0,1089
1032,85334.49999999999,122732.0,390
726,42476.0,42476.0,651
195,35391.0,89506.0,466
940,133472.0,155409.0,236
782,54881.0,54881.0,49
646,130223.0,155409.0,563
1041,96917.0,108402.0,4
836,42573.5,122732.0,355
283,71434.0,71434.0,532
877,100717.0,105730.0,197
214,143078.0,143078.0,468
215,214700.5,269557.0,511
424,66868.5,105730.0,24
1214,23408.000000000004,23408.0,811
919,80101.0,80101.0,153
50,78242.0,125962.0,423
603,63481.0,142826.0,793
792,51719.0,127012.0,216
1029,47007.0,116707.0,465
950,328076.5,341975.0,60
642,56541.0,56541.0,789
168,39157.99999999999,39158.0,599
213,117798.0,117798.0,467
897,68467.5,70344.0,118
976,25910.0,39158.0,1157
865,92218.5,115657.0,124
1198,51055.5,115657.0,807
887,43514.0,89506.0,91
1045,62371.5,183156.0,14
1038,73198.0,130065.0,2
801,61035.5,142826.0,217
11,28578.00000000001,56541.0,383
564,34630.0,127012.0,570
951,94688.5,116707.0,89
872,89194.99999999999,115657.0,310
1048,47834.00000000001,47834.0,3
21,117798.0,117798.0,341
947,107739.0,107739.0,39
651,80101.0,80101.0,605
1413,56201.5,155409.0,78
933,46745.0,46745.0,269
935,111039.5,151858.0,115
224,12087.5,85856.0,1036
519,45861.5,118106.0,171
314,20513.5,125962.0,1238
663,47834.0,47834.0,520
