METHOD,SERVICE,P,SOLUTION,STATUS,REL_GAP,FINAL_TIME
exact,lycee,246,30680243.3094612,Optimal,0.000070655834763,1484.89071893692
exact,lycee,281,29277741.8435763,Optimal,0.000099466108901,1970.23224306107
exact,lycee,316,28171352.4040528,Optimal,0.000099156294097,2047.74918794632
exact,lycee,352,27245758.6943596,Optimal,0.000078825752633,1554.64046311379
exact,lycee,387,26537297.9696326,Optimal,0.000099280530147,581.536083936691
exact,lycee,422,25975817.6971537,Optimal,0.00005654528719,495.526785135269
exact,lycee,457,25517497.0667966,Optimal,0.000098955860636,422.990631103516
rssv_exact,lycee,246,39667481.0471649,Feasible,0.226619014835276,3600
rssv_exact,lycee,281,36520591.410118,Optimal,0.198402091254,2184.68094992638
rssv_exact,lycee,316,31353769.2945639,Optimal,0.101411204941101,2032.29182219505
rssv_exact,lycee,352,27245686.0388513,Optimal,0.0000761592834879255,1807.33020210266
rssv_exact,lycee,387,26537297.9696326,Optimal,0.0000992805301473504,931.339228153229
rssv_exact,lycee,422,25975686.4862816,Optimal,0.000051494277167366,1362.9801158905
rssv_exact,lycee,457,25517681.0713459,Optimal,0.000117921179752144,417.554728984833
rssv_vns,lycee,246,68695295.2509992,Feasible,0.553418098587863,3611
rssv_vns,lycee,281,63863590.963185,Feasible,0.541603764226262,3618
rssv_vns,lycee,316,57237111.2245857,Feasible,0.507764365318722,3614
rssv_vns,lycee,352,54440646.7361527,Feasible,0.499572237652484,3616
rssv_vns,lycee,387,52207044.9709143,Feasible,0.491741711345575,3617
rssv_vns,lycee,422,49877104.2413606,Feasible,0.479233021199678,3627
rssv_vns,lycee,457,47521578.7907707,Feasible,0.463086610121876,3618
rssv_tb,lycee,246,67480524.0408293,Feasible,0.545378818446971,3619
rssv_tb,lycee,281,64165563.7713376,Feasible,0.543761045958507,3618
rssv_tb,lycee,316,57239550.902939,Feasible,0.507785345508184,3613
rssv_tb,lycee,352,54459165.5518557,Feasible,0.499742407896733,3626
rssv_tb,lycee,387,52207044.9709143,Feasible,0.491741711345575,3626
rssv_tb,lycee,422,49877104.2413606,Feasible,0.479233021199678,3626
rssv_tb,lycee,457,47521578.7907707,Feasible,0.463086610121876,3627
exact,mat,26,66533868.7510978,Feasible,0.232226712396707,3600
exact,mat,30,59292457.8506364,Feasible,0.246552227574541,3600
exact,mat,33,55348244.5872097,Feasible,0.218831504701327,3600
exact,mat,37,46913712.3006579,Feasible,0.196640844443115,3600
exact,mat,41,45320308.3088583,Feasible,0.166920974884965,3600
exact,mat,44,44294537.8402088,Feasible,0.188543505851192,3600
exact,mat,48,46148602.1309926,Feasible,0.330869692630845,3600
rssv_exact,mat,26,65612734.4860731,Feasible,0.221447977315452,3600
rssv_exact,mat,30,57539711.3399764,Feasible,0.223601070480957,3600
rssv_exact,mat,33,54023156.0630186,Feasible,0.199670880183714,3600
rssv_exact,mat,37,46712361.2504129,Feasible,0.193178009224227,3600
rssv_exact,mat,41,46590461.7094398,Feasible,0.189632450965672,3600
rssv_exact,mat,44,41040555.1283128,Feasible,0.124205550500428,3600
