METHOD,SERVICE,SUBAREA,P,SOLUTION,STATUS,REL_GAP,FINAL_TIME
exact,mat,arrond,34,64258450.848853193223476,Feasible,0.331872773098227,3600.791917085647583
exact,mat,arrond,26,97498258.810896873474121,Feasible,0.366584303640465,3601.138659000396729
exact,mat,arrond,30,65204576.981497831642628,Feasible,0.220238098743729,3602.419462919235229
exact,mat,arrond,46,44028938.992577418684959,Feasible,0.179366992690707,3601.244368076324463
exact,mat,arrond,42,54244303.178164772689342,Feasible,0.314995498128662,3603.935172080993652
exact,mat,arrond,38,55220100.890514679253101,Feasible,0.297462801761876,3634.218064069747925
exact,mat,arrond,50,39818183.527719289064407,Feasible,0.117883496685811,3604.606652021408081
exact,mat,arrond,54,37430123.114183843135834,Feasible,0.094460123935504,3610.758183956146240
rssv_exact,mat,arrond,26,74455233.126443654298782,Feasible,0.080322337086090,3600.629467010498047
rssv_exact,mat,arrond,34,55963819.613482803106308,Feasible,0.149702787312024,3601.288256883621216
rssv_exact,mat,arrond,30,63816069.942586608231068,Feasible,0.103581348555451,3631.462156057357788
rssv_exact,mat,arrond,38,50925859.703477121889591,Feasible,0.131319095466464,3600.670288085937500
rssv_exact,mat,arrond,42,49066566.164376318454742,Feasible,0.195959591466421,3601.397703170776367
rssv_exact,mat,arrond,46,40634639.460162267088890,Feasible,0.051167109477853,3617.387356042861938
rssv_exact,mat,arrond,50,36912205.390405237674713,Feasible,0.002176814127995,3600.891294956207275
rssv_exact,mat,arrond,54,35287824.726925864815712,Feasible,0.006764210939763,3600.740876913070679
exact,mat,epci,51,80598806.890420123934746,Feasible,0.004286553442966,3601.302681922912598
exact,mat,epci,54,63219873.756104126572609,Feasible,0.005067298384541,3601.944450855255127
exact,mat,epci,58,50509575.527299076318741,Feasible,0.022971744784928,3603.946192026138306
exact,mat,epci,62,42059051.215923093259335,Feasible,0.021162281456970,3620.937782049179077
rssv_exact,mat,epci,51,83053435.286300063133240,Optimal,0.000095838145966,1946.421921968460083
rssv_exact,mat,epci,54,63167686.972273871302605,Feasible,0.001105401130955,3636.146048069000244
rssv_exact,mat,epci,58,49690529.375281095504761,Feasible,0.001384014439490,3611.788866043090820
rssv_exact,mat,epci,62,41644058.703750424087048,Feasible,0.005161209991772,3606.248700857162476
exact,urgenc,arrond,42,47985966.248153790831566,Feasible,0.127890129742639,3601.174425125122070
exact,urgenc,arrond,48,42373186.871927678585052,Feasible,0.091626859773393,3601.246928930282593
exact,urgenc,arrond,54,42083721.730802290141582,Feasible,0.150452267809543,3601.085315942764282
exact,urgenc,arrond,60,37842841.971736773848534,Feasible,0.111251346967367,3601.261636018753052
exact,urgenc,arrond,66,35559332.047621294856071,Feasible,0.102032800727783,3601.335131883621216
exact,urgenc,arrond,72,31683029.386743374168873,Feasible,0.039056288939991,3622.525281906127930
exact,urgenc,arrond,78,29663093.955022260546684,Feasible,0.024867938690166,3601.721256971359253
rssv_exact,urgenc,arrond,42,43815927.069372005760670,Feasible,0.027843432585743,3601.320493936538696
rssv_exact,urgenc,arrond,48,41500876.554136425256729,Feasible,0.055284543429456,3600.813716888427734
rssv_exact,urgenc,arrond,54,38428759.676321595907211,Feasible,0.054349811817192,3601.290681838989258
rssv_exact,urgenc,arrond,60,34355216.490384064614773,Feasible,0.000977567561460,3614.195654869079590
rssv_exact,urgenc,arrond,66,32512304.404703769832850,Feasible,0.004041769892410,3612.359076976776123
rssv_exact,urgenc,arrond,72,30662352.213462561368942,Feasible,0.001783359735596,3601.440240144729614
rssv_exact,urgenc,arrond,78,29160547.216505020856857,Feasible,0.001172278229022,3611.473144054412842
exact,urgenc,epci,54,65778505.352574884891510,Feasible,0.022018841888184,3601.526921033859253
exact,urgenc,epci,60,45054352.222577258944511,Feasible,0.024507679575667,3601.582087993621826
exact,urgenc,epci,72,33572923.220917515456676,Feasible,0.013216874409173,3601.552335977554321
exact,urgenc,epci,66,37089592.447383828461170,Feasible,0.009819273990745,3634.312071800231934
exact,urgenc,epci,78,31979354.146983534097672,Feasible,0.036260997281390,3602.980022192001343
rssv_exact,urgenc,epci,54,65377427.752062007784843,Feasible,0.002225959022081,3605.206553936004639
rssv_exact,urgenc,epci,60,45049107.311442121863365,Feasible,0.013083860372092,3601.424016952514648
rssv_exact,urgenc,epci,66,37005060.138388529419899,Feasible,0.004985029121636,3606.725471019744873
rssv_exact,urgenc,epci,72,33582582.142353117465973,Feasible,0.002126874431055,3625.046903848648071
rssv_exact,urgenc,epci,78,31255355.724789626896381,Feasible,0.001997678484129,3630.932991981506348
