METHOD,SERVICE,SUBAREA,P,SOLUTION,STATUS,REL_GAP,FINAL_TIME,BEST_BOUND_EXACT,GAP_REAL
exact,mat,null,26,66533868.7510978,Feasible,0.232226712396707,3600,#NOM ?,
exact,mat,null,30,59292457.8506364,Feasible,0.246552227574541,3600,#NOM ?,
exact,mat,null,33,55348244.5872097,Feasible,0.218831504701327,3600,#NOM ?,
exact,mat,null,37,46913712.3006579,Feasible,0.196640844443115,3600,#NOM ?,
exact,mat,null,41,45320308.3088583,Feasible,0.166920974884965,3600,#NOM ?,
exact,mat,null,44,44294537.8402088,Feasible,0.188543505851192,3600,#NOM ?,
exact,mat,null,48,46148602.1309926,Feasible,0.330869692630845,3600,#NOM ?,
exact,mat,arrond,26,100079245.457949,Feasible,0.375992373648471,3604.09332609177,,
exact,mat,arrond,30,65204576.9814978,Feasible,0.220238098743729,3600.95639491081,,
exact,mat,arrond,33,76402056.2001145,Feasible,0.418154800642326,3602.87897109985,,
exact,mat,arrond,37,54004312.05475,Feasible,0.246919693523381,3601.32465219498,,
exact,mat,arrond,41,50147457.6355531,Feasible,0.233225456348642,3601.82494688034,,
exact,mat,arrond,44,51250266.2902146,Feasible,0.310868357937766,3601.22720003128,,
exact,mat,arrond,48,41906963.7869161,Feasible,0.150212300364598,3635.66897892952,,
exact,mat,EPCI,26,88144060.5632245,Feasible,0.068389236756453,3601.04546689987,,
exact,mat,EPCI,30,84974131.56523,Feasible,0.085963549718901,3601.17340803146,,
exact,mat,EPCI,33,83040625.4607395,Feasible,0.062789112429125,3601.32444000244,,
exact,mat,EPCI,37,83251316.3570088,Feasible,0.071314948721318,3601.13514208794,,
exact,mat,EPCI,41,80870531.8823397,Feasible,0.054569651639522,3601.30671000481,,
exact,mat,EPCI,44,81072123.6623251,Feasible,0.066616588398356,3601.25981807709,,
exact,mat,EPCI,48,78741588.531785,Feasible,0.040341476002991,3600.86223506927,,
exact,mat,canton,26,72092493.6773055,Feasible,0.193472282610447,3601.23401904106,,
exact,mat,canton,30,60700309.0753606,Feasible,0.182073767700196,3601.92906689644,,
exact,mat,canton,33,61038168.4185493,Feasible,0.157017974930369,3602.01390194893,,
exact,mat,canton,37,56633151.6967431,Feasible,0.206025068984053,3601.28112912178,,
exact,mat,canton,41,53236428.5958509,Feasible,0.187206524441891,3600.92717313766,,
exact,mat,canton,44,50325637.4145698,Feasible,0.200051926976772,3602.69794607162,,
exact,mat,canton,48,44976080.6054048,Feasible,0.055202059590393,3601.22659397125,,
exact,mat,commune,26,74843892.0184549,Feasible,0.216986758310793,3604.86081790924,,
exact,mat,commune,30,61230676.387866,Feasible,0.172232335983508,3601.37282705307,,
exact,mat,commune,33,54549040.0359843,Feasible,0.093284212645869,3601.13122606277,,
exact,mat,commune,37,57239424.3480522,Feasible,0.207142877170642,3601.1713540554,,
exact,mat,commune,41,53703101.2591174,Feasible,0.154508911717752,3601.3290719986,,
exact,mat,commune,44,51667629.6550982,Feasible,0.185554562705575,3601.51175999641,,
exact,mat,commune,48,47833867.7227675,Feasible,0.113716237529867,3606.81370997429,,
exact,urgenc,null,42,48386235.0076389,Feasible,0.203447236042855,3600,#NOM ?,
exact,urgenc,null,48,42236734.9036984,Feasible,0.15910663850531,3600,#NOM ?,
exact,urgenc,null,54,39101221.8521855,Feasible,0.088945394706493,3600,#NOM ?,
exact,urgenc,null,60,36043370.8653879,Feasible,0.060146157789543,3600,#NOM ?,
exact,urgenc,null,66,35230513.7711819,Feasible,0.097582269502708,3600,#NOM ?,
exact,urgenc,null,72,36483243.6844486,Feasible,0.193009729326185,3600,#NOM ?,
exact,urgenc,null,78,31235735.3944446,Feasible,0.088845611941457,3600,#NOM ?,
exact,urgenc,arrond,42,47985966.2481538,Feasible,0.127890129742639,3601.10094213486,,
exact,urgenc,arrond,48,42373186.8719277,Feasible,0.091626859773393,3601.588793993,,
exact,urgenc,arrond,54,42083721.7308023,Feasible,0.154540037886171,3601.03248381615,,
exact,urgenc,arrond,60,37842841.9717368,Feasible,0.111251346967367,3602.29445695877,,
exact,urgenc,arrond,66,35129782.0334401,Feasible,0.091052891350194,3601.9063270092,,
exact,urgenc,arrond,72,32273617.25971,Feasible,0.064400503409437,3601.65512299538,,
exact,urgenc,arrond,78,29208563.64297,Feasible,0.009693379422647,3604.67298412323,,
exact,urgenc,EPCI,42,85650629.0847881,Feasible,0.044944262454118,3601.29577589035,,
exact,urgenc,EPCI,48,82694862.4584035,Feasible,0.023749091611622,3601.33786892891,,
exact,urgenc,EPCI,54,69489636.9372295,Feasible,0.01536251422602,3600.73803687096,,
exact,urgenc,EPCI,60,46370984.7637557,Feasible,0.019096021187398,3630.78736114502,,
exact,urgenc,EPCI,66,38053677.9871171,Feasible,0.023328345133642,3601.34721684456,,
exact,urgenc,EPCI,72,34841771.0939928,Feasible,0.040446935671135,3601.58369612694,,
exact,urgenc,EPCI,78,31383602.1675237,Feasible,0.012290967150327,3601.66002511978,,
exact,urgenc,canton,42,52883729.2113818,Feasible,0.072279409044396,3601.21779298782,,
exact,urgenc,canton,48,51849039.3587917,Feasible,0.118696589868364,3601.30622696877,,
exact,urgenc,canton,54,46148980.2298147,Feasible,0.065340434418675,3601.0190680027,,
exact,urgenc,canton,60,46455329.7250076,Feasible,0.108777151157512,3601.35700392723,,
exact,urgenc,canton,66,42503514.6493295,Feasible,0.073851259603211,3601.60121703148,,
exact,urgenc,canton,72,41141420.4384622,Feasible,0.0686493049941,3601.42214894295,,
exact,urgenc,canton,78,38850955.0074973,Feasible,0.046279543892718,3601.34450101852,,
exact,urgenc,commune,42,50690616.9166465,Feasible,0.095468661612338,3600.93593716621,,
exact,urgenc,commune,48,48938777.8880116,Feasible,0.122125036565678,3601.24907684326,,
exact,urgenc,commune,54,52193558.95069,Feasible,0.061143498630888,3601.4454870224,,
exact,urgenc,commune,60,42678214.2567308,Feasible,0.035033932879482,3601.47251987457,,
exact,urgenc,commune,66,43424077.3000456,Feasible,0.094527748344505,3601.30110192299,,
exact,urgenc,commune,72,38953862.0047117,Feasible,0.021085850140198,3605.2382979393,,
exact,urgenc,commune,78,37645866.7672239,Feasible,0.022214784894376,3601.30710291862,,
exact,lycee,null,246,30680243.3094612,Optimal,0.000070655834763,1484.89071893692,#NOM ?,
exact,lycee,null,281,29277741.8435763,Optimal,0.000099466108901,1970.23224306107,#NOM ?,
exact,lycee,null,316,28171352.4040528,Optimal,0.000099156294097,2047.74918794632,#NOM ?,
exact,lycee,null,352,27245758.6943596,Optimal,0.000078825752633,1554.64046311379,#NOM ?,
exact,lycee,null,387,26537297.9696326,Optimal,0.000099280530147,581.536083936691,#NOM ?,
exact,lycee,null,422,25975817.6971537,Optimal,0.00005654528719,495.526785135269,#NOM ?,
exact,lycee,null,457,25517497.0667966,Optimal,0.000098955860636,422.990631103516,#NOM ?,
exact,lycee,arrond,246,30680243.309461,Optimal,0.000095665035586,3226.06862092018,,
exact,lycee,arrond,281,29277679.4400604,Feasible,0.000159668117808,3645.66584086418,,
exact,lycee,arrond,316,28171352.4040524,Optimal,0.000099126974419,1710.82760500908,,
exact,lycee,arrond,352,27245686.0388511,Optimal,0.000096190586049,1063.77086305618,,
exact,lycee,arrond,387,26538484.0765,Optimal,0.000093064878451,472.882191181183,,
exact,lycee,arrond,422,25976211.8152918,Optimal,0.000095985651351,1363.01758289337,,
exact,lycee,arrond,457,25517413.4937753,Optimal,0.000055722419575,443.754831075668,,
exact,lycee,EPCI,246,30705184.6981719,Optimal,0.000098475148724,3213.52181792259,,
exact,lycee,EPCI,281,29281163.1941012,Optimal,0.000099008607791,1260.14965510368,,
exact,lycee,EPCI,316,28171352.4040524,Feasible,0.000179706741322,3655.66114616394,,
exact,lycee,EPCI,352,27245990.6244534,Optimal,0.000099968057884,2411.64364695549,,
exact,lycee,EPCI,387,26537851.8825127,Optimal,0.000086114782555,1574.17994308472,,
exact,lycee,EPCI,422,25975951.6261561,Optimal,0.000096919124145,511.062802791595,,
exact,lycee,EPCI,457,25517464.8869556,Optimal,0.000044514738373,243.495593070984,,
exact,lycee,canton,246,33467150.3949401,Feasible,0.000669017605465,3609.14364790916,,
exact,lycee,canton,281,30953322.8171429,Feasible,0.000330552581672,3691.64909791946,,
exact,lycee,canton,316,29238266.7727463,Optimal,0.000098263189156,1567.74172186852,,
exact,lycee,canton,352,27992883.6083217,Feasible,0.000122276586623,3701.86239004135,,
exact,lycee,canton,387,27054152.5142134,Optimal,0.000095426388068,1831.48957395554,,
exact,lycee,canton,422,26324915.3960528,Optimal,0.000097252169392,1372.07741093636,,
exact,lycee,canton,457,25760378.6752842,Optimal,0.000058196325052,424.768234014511,,
